ref;extension;title
589324;webp;Ilya Repin with his works at the Ateneum
1953352;webp;Gunnar Berndtson, ajoitus n. 1880
503687;webp;Parisian Model in a Dressing Gown (Parisian Model in Robe)
564196;jpg;Portrait of the Poet Bertel Gripenberg
510706;jpg;Mrs. Morewood
1675717;webp;Nikolai Sinebrychoff
382079;jpg;The Philologist and the Counsellor of Secretary Johan Ihre
611390;jpg;Opera singer Ida Basilier-Magelsen's portrait as Philine in Ambroise Thomas' opera Mignon
586070;jpg;Paraske kanteleineen
405126;jpg;Irma
5637849;webp;Portrait of Signe Kolster
433391;jpg;Portrait of the Artist´s Sister Berta Edelfelt
625642;webp;Old Woman with a Chip Basket
579382;jpg;Martin de Vos
541744;jpg;Portrait of a Man
378849;webp;Colonel Henrik Falkenberg af Bålby
436101;jpg;Portrait of Johan Knutson
431981;webp;Portrait of a man
397388;jpg;Portrait of the Sculptor C. E. Sjöstrand
623215;webp;Portrait of a Boy
389031;jpg;Maria Odilia Buys
624605;webp;Laihian kirkkoherra Samuel Wacklinin rouva Elisabeth Björman
381195;jpg;Anna Carolina Willman
381354;jpg;Francis Annesley
383088;webp;Sophia Magdalena, Queen of Sweden
470440;webp;Portrait of Mrs. Lydia N:son Keirkner
621445;jpg;Baron Johan Wilhelm Sprengporten
440012;jpg;Portrait of Lieutenant Alexandre Weissgerber de Stragéwicz as a Child
573118;jpg;Portrait of Count C.G. Mannerheim, After Pierre Francois Eugene Giraud
519791;jpg;Jan van Goyen
380287;webp;Court Architect Göran Josuæ Adelcrantz
389373;webp;Adolph Fredrick, King of Sweden
625587;webp;Charles Mouton
623124;webp;Italialainen poika, kopio R.W. Ekmanin mukaan
420230;jpg;Sir Richard Southwell, copy after Hans Holbein the Younger
380786;jpg;Anna Dorothea Amiga
441746;webp;Vanha eukko
574389;jpg;Carl Gustaf Estlander, kipsimalli
403899;jpg;Istuva hattupäinen nainen
621144;webp;Boy Sitting
610651;webp;Baron Nils Palmstjerna
380052;jpg;Ulrika Lovisa Tessin
378746;webp;Portrait of a Lady
386751;jpg;Portrait of a man
