ref;extension;title
589324;webp;Ilya Repin with his works at the Ateneum
503687;webp;Parisian Model in a Dressing Gown (Parisian Model in Robe)
564196;jpg;Portrait of the Poet Bertel Gripenberg
1675717;webp;Nikolai Sinebrychoff
382079;jpg;The Philologist and the Counsellor of Secretary Johan Ihre
611390;jpg;Opera singer Ida Basilier-Magelsen's portrait as Philine in Ambroise Thomas' opera Mignon
586070;jpg;Paraske kanteleineen
405126;jpg;Irma
5637849;webp;Portrait of Signe Kolster
625642;webp;Old Woman with a Chip Basket
579382;jpg;Martin de Vos
378849;webp;Colonel Henrik Falkenberg af Bålby
436101;jpg;Portrait of Johan Knutson
397388;jpg;Portrait of the Sculptor C. E. Sjöstrand
623215;webp;Portrait of a Boy
389031;jpg;Maria Odilia Buys
624605;webp;Laihian kirkkoherra Samuel Wacklinin rouva Elisabeth Björman
381195;jpg;Anna Carolina Willman
381354;jpg;Francis Annesley
383088;webp;Sophia Magdalena, Queen of Sweden
621445;jpg;Baron Johan Wilhelm Sprengporten
440012;jpg;Portrait of Lieutenant Alexandre Weissgerber de Stragéwicz as a Child
573118;jpg;Portrait of Count C.G. Mannerheim, After Pierre Francois Eugene Giraud
519791;jpg;Jan van Goyen
380287;webp;Court Architect Göran Josuæ Adelcrantz
389373;webp;Adolph Fredrick, King of Sweden
420230;jpg;Sir Richard Southwell, copy after Hans Holbein the Younger
380786;jpg;Anna Dorothea Amiga
441746;webp;Vanha eukko
574389;jpg;Carl Gustaf Estlander, kipsimalli
610651;webp;Baron Nils Palmstjerna
380052;jpg;Ulrika Lovisa Tessin
378746;webp;Portrait of a Lady
386751;jpg;Portrait of a man
401096;webp;Count Karl Lagerbring
381153;jpg;Portrait of a lady
379786;webp;Mayor Jonas Robeck
610068;webp;Eva Raye
419998;webp;Princess Jekaterina Orlova
392486;webp;Captain Carl Adolf Möllersvärd
395360;jpg;The Silk Manufacturer Carl Edvin Lundgren
383566;webp;Portrait of a young lady
387383;jpg;Portrait of a man
477370;webp;Portrait of Ms. Anna Krogius
400537;jpg;Portrait of the Artist Elizaveta Zvantseva
610337;jpg;Portrait of Baron Carl Johan Walleen
619922;jpg;Portrait of Nils Henrik Pinello
384900;webp;Portrait of Carl Johan von Schultzenheim
501893;webp;Portrait of Carl Gustaf Mannerheim
1875369;webp;Portrait of Mrs. White
388569;jpg;Portrait of a Young Man Holding a Glove, copy after Frans Hals
429344;webp;Portrait of the Artist's Mother Alexandra Edelfelt
429434;webp;Portrait of a Woman
509606;jpg;Portrait of a Woman
397599;webp;Portrait of the Artist Eric O. W. Ehrström
